,order,huc2,Q_decile,mu,sigma,mean,median
0,1.0,08,0,5.8626358038367545,1.1438606889314413,554.0146234020597,577.7083333333334
1,1.0,08,1,5.8429067788797315,1.2120976514957353,582.0538411423079,461.532520121982
2,1.0,08,2,5.826730948945014,1.1983468532299373,569.330952812591,436.88020833333337
3,1.0,08,3,5.76816605212581,1.234296894274375,564.2692254684627,444.6
4,1.0,08,4,5.594800657678046,1.2292735593213344,497.25650867497734,269.6010430247713
5,1.0,08,5,5.265385216417392,1.2427209304559719,382.68995186708,199.8367346938776
6,1.0,08,6,5.425282824115066,1.2069826272546977,413.42030519389107,237.94620295572844
7,1.0,08,7,5.464770383708564,1.1046732274680335,398.5973551345655,259.69565217391306
8,1.0,08,8,5.270985536604449,1.1582116040123958,347.822398425758,216.0
9,1.0,08,9,5.325802358867854,1.1688251040094104,344.69443436727084,251.46128714091978
10,2.0,08,0,4.878545208396039,1.3355695103622292,339.36283202617244,90.0
11,2.0,08,1,5.065289647077805,1.393267614753721,395.74454592426935,119.70306867998045
12,2.0,08,2,4.9638922347719285,1.2494188656628638,335.1628291385542,112.96875
13,2.0,08,3,4.988282789777775,1.2726773116685002,361.3780088146686,100.8529411764706
14,2.0,08,4,4.952533253286861,1.1990087427837888,330.46467191906453,125.54812273710148
15,2.0,08,5,4.7410209771266745,1.0461521319564062,246.4232235963058,123.50735294117646
16,2.0,08,6,4.95200055934954,0.9981308483817861,267.52288693041294,137.01850548124304
17,2.0,08,7,4.964528686294497,1.104604894744859,324.58188737405686,126.07310182460267
18,2.0,08,8,5.1024484131262255,1.0647307678150015,344.25992799207614,147.55620953502057
19,2.0,08,9,4.857021380289826,0.8331627095704962,211.75461257551044,149.90625
20,3.0,08,0,4.9444425640391145,1.7251262249506916,496.2284913740298,59.0625
21,3.0,08,1,4.947195989937494,1.7109827175676406,534.3317932803524,59.0625
22,3.0,08,2,4.60052946662447,1.4838990324860997,373.4549415485909,59.0625
23,3.0,08,3,4.92522359098747,1.7286579410339693,559.5159459129496,59.0625
24,3.0,08,4,4.523685249808193,1.4803401279828032,370.72967446048307,54.82247191011239
25,3.0,08,5,4.4880461354736925,1.3254019349266788,318.1991347403706,61.030126404494396
26,3.0,08,6,4.535273335976528,1.4593603239884407,366.11916630925026,58.85637155591573
27,3.0,08,7,4.039191457105485,0.6272710895425813,92.04327311709461,59.0625
28,3.0,08,8,3.935498679894026,0.4006425446557869,54.72773652873105,56.73635751097193
29,3.0,08,9,3.9587868271406235,0.6807738045963058,94.47775283715018,55.22152605029777
30,4.0,08,0,4.860250835232203,1.0607273341454184,265.4751295570821,100.63685393258432
31,4.0,08,1,4.914025931191549,1.1362553615086635,302.9257795226684,94.44905636462066
32,4.0,08,2,4.8515474216107535,1.1020422449721328,241.42328309613276,136.125
33,4.0,08,3,4.951853826005643,1.2427506663753138,331.88174889517694,100.63685393258433
34,4.0,08,4,4.829213968351404,1.1848879514417492,292.1429773326752,87.27272727272728
35,4.0,08,5,4.805892286887012,1.1851074594154085,277.54139004192666,84.95924270312915
36,4.0,08,6,4.743521829463669,0.9713696699061076,215.043892510936,81.97738627399424
37,4.0,08,7,4.659448868498907,1.0098188055959199,221.2877068836918,70.9492505916382
38,4.0,08,8,4.963040590083444,0.9788086203031706,257.0926916192423,127.50966292134837
39,4.0,08,9,4.598590350713979,0.8605406632687986,167.95434218011044,80.2471042471043
40,5.0,08,0,4.127066276561653,1.0791152560575512,142.60111755212833,56.25
41,5.0,08,1,3.893657821679412,0.973810589001727,95.17998568445691,45.0
42,5.0,08,2,4.009823421166783,0.9907102963429091,116.66993860466808,55.833333333333336
43,5.0,08,3,3.9470808525779724,1.0115337352418659,106.49049583535609,48.4703632887189
44,5.0,08,4,3.9972647640513923,0.9947923595144087,116.66715989390677,48.80552384968265
45,5.0,08,5,4.012575306010431,0.9821196522677024,113.08968030116242,53.48440610484409
46,5.0,08,6,4.0108426965498944,0.891793267092293,101.33739104583238,55.833333333333336
47,5.0,08,7,4.110515752334445,1.005157435898905,122.63749285638929,56.25
48,5.0,08,8,4.205021813747569,0.9600154356797922,122.82578278210411,63.4124559341951
49,5.0,08,9,4.2013193787555805,0.875874123829399,109.54716378737108,67.0
50,6.0,08,0,3.838562613902816,0.8343163642547394,73.60233447389042,42.0
51,6.0,08,1,3.821272993577452,0.8406530557063836,65.59572259568681,42.0
52,6.0,08,2,3.9251725924340106,0.8351356839829304,78.83000274724192,46.285714285714285
53,6.0,08,3,3.9897261860224607,0.8102174857242602,77.12284817566326,48.0
54,6.0,08,4,3.983425224773387,0.7880323419727409,81.83875846615432,48.0
55,6.0,08,5,4.003498017565865,0.8154484347550027,81.60457649490442,49.14068441064639
56,6.0,08,6,4.051750288385768,0.8571447286392035,90.0545410733979,52.5
57,6.0,08,7,4.148289106078964,0.9046769673327298,100.11325263478037,60.0
58,6.0,08,8,4.115942726325022,0.8799838173898059,90.6648120865146,57.85714285714286
59,6.0,08,9,4.146725815071776,0.8220520113585684,92.05033459316373,62.91690448212192
60,7.0,08,0,4.997470986061414,0.5874775369264366,171.5129438521989,149.76
61,7.0,08,1,4.996803168754519,0.6231283191878367,173.40880413744105,149.90625
62,7.0,08,2,5.007940751558617,0.6545225047200119,177.05481312765465,151.5045871559633
63,7.0,08,3,5.035908546413282,0.6192584770082018,179.18273464675406,157.16892289582103
64,7.0,08,4,5.094443571811534,0.5545461040373031,184.6310677006503,170.33333333333334
65,7.0,08,5,5.029949393575762,0.6100196041392377,176.8954957195384,157.4128440366973
66,7.0,08,6,5.070037269370605,0.6370074191862596,185.54744510440275,168.75
67,7.0,08,7,5.064611294224787,0.6320048363078685,185.250744519428,161.4375
68,7.0,08,8,5.092434729906646,0.5774060688028576,185.84980513514148,166.95925421598406
69,7.0,08,9,5.103392362370972,0.6016549897498085,189.5750290545589,170.46560730040846
70,8.0,08,0,5.452905357195972,0.46626527422991926,267.8933279420318,208.37697199966985
71,8.0,08,1,5.462320586072784,0.4549158272354494,266.51071707160014,214.77272727272728
72,8.0,08,2,5.472050878761516,0.4384174285239723,267.00988466272895,218.9712845055975
73,8.0,08,3,5.5220747942546415,0.4675144633724944,285.31749557116706,220.93143949740488
74,8.0,08,4,5.550258847614796,0.4334105874525671,287.78066641362017,228.2815960328465
75,8.0,08,5,5.555512849924416,0.41671824894337023,286.4231275459208,233.10862388275996
76,8.0,08,6,5.663020062947753,0.49441188563739363,329.7906227749238,245.7007167675157
