,order,Q_decile,mu,sigma,loc,n,mean,median,min,max,n95,n90,n75,n25,n10,n05
0,4,0,4.649140559632285,1.0748385444673758,0,4390145,171.04854613398658,98.1768839288817,0.0593104945275495,1898.24205544906,4.90745848771911,4.60241229315581,3.42346099453229,0.674775542061378,0.183929586475347,0.119944859290271
1,5,0,4.202229033000093,0.9177733150410763,0,11120736,100.14420170295604,67.2885222617214,0.0592407731269352,2897.08801272641,3.18407139981891,2.93914283060207,2.20276149709347,0.429013454527266,0.122775559115413,0.0613654972420775
2,6,0,4.2737115791915885,0.8952138331622395,0,29724309,100.86889778702056,70.1799776420293,0.0590376188266656,2263.57964331048,3.92739182349296,3.79490532529452,2.90601095999346,0.616519166286525,0.183729699223246,0.0613989267847915
3,7,0,4.540282541894784,0.7031927755232268,0,50925726,118.15520472356111,96.0293894606832,0.0592333192628297,2165.21018941562,14.865438237849,14.2505733221939,11.854121370878,2.72181115403013,0.715365008336126,0.298775010048922
4,8,0,5.521896323360827,0.8418028144228469,0,25515636,332.33092367080303,302.36477084598,0.0593567213100516,2489.18393274374,25.77408448030756,24.8786465135449,21.5367794982558,8.17667536702914,2.31024069591931,0.852451242747457
5,9,0,5.850195741434313,0.5260109488132374,0,8735894,397.1711213200289,348.048014183277,0.0588989826305115,2093.12178072094,120.463077218222,117.303955309262,109.047152912936,42.2740353060971,24.564996458516,9.9816856561763
6,10,0,6.531070565208916,0.48216387569796626,0,5035481,749.1976634504929,719.873700817463,0.236542536983621,3662.22264180587,101.925002728637,99.6985745771199,93.788663023537,62.1160053468677,31.6850430089053,10.7082391960109
7,4,1,4.701627415779182,1.06482114820424,0,3903845,177.2613923076171,103.732125469234,0.0595923706221871,1898.24205544906,5.47159125070296,5.08134761066799,3.73448438856322,0.788739225166475,0.181261405074509,0.119944859290271
8,5,1,4.237346051964432,0.9480911604775962,0,9052975,109.38113579072503,68.4327496018648,0.0592775751980305,2897.44269305199,3.43409513844591,3.25532536959199,2.56570973292892,0.48259847150047,0.177985452231359,0.061453290392148
9,6,1,4.212512358788478,0.909012990052026,0,28164551,95.71988331017266,68.3863285890068,0.0590376188266656,2306.11726477754,3.25473413723282,2.97204268170263,2.2727286905958164,0.483934693885043,0.122753272755072,0.0612765295041404
