,len05,len15,len25,len35,len45,len55,len65,len75,len85,len95
0,203088.9802787976,242463.2825265585,274017.69355336885,306979.446234229,345838.31388642325,390574.4516744689,447165.5851605476,522560.18310920347,649850.5709418176,1156246.435428423
1,112317.86987721748,131818.6075008793,146669.21974244397,162880.39825028746,181359.99596347232,204117.4956117076,233405.45501722995,272530.9363441848,337060.2575157703,536309.6604739019
2,62688.48333027598,77412.7839182573,86814.85413944464,95067.07065407709,103428.19234250822,113744.2717473422,127158.62005637986,145999.5410423773,178401.88422763217,275326.46286766697
3,23843.94403557444,33385.30230824289,41851.32157595912,50915.42604054984,60061.26370529471,68975.81971076423,76948.79621370483,86363.85490385772,101807.69977303653,149107.00810025365
4,2504.915565911452,4229.158963226128,6130.267646120257,8680.087584291849,13054.026934853493,19730.003414612565,29018.991872538347,40720.685009360735,55164.22463110588,83406.29843713694
5,167.70334511024706,192.01447568334413,263.2458468411623,357.4243179093367,493.2359018606352,725.4832465609269,1492.1046922246915,4541.594411400643,12555.648758105002,36835.46698129809
6,0.0,3.729959953866432,3.729959953866432,28.41529362913133,28.41529362913133,50.40877918235023,72.42640687119285,170.87803594476767,808.8460408696699,7771.667305042102
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.710695141770604,1245.022005183617
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.15048060643346
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
