,area_km2,length_km,mean_width,Q_decile,order
0,5940.632347148441,2094904.5823898115,2.8357531875611848,4,1
1,6019.999987145265,1069287.399804604,5.629917633225014,4,2
2,3899.054987505114,547615.527867451,7.120059218716805,4,3
3,3843.6231528571107,289969.2743794635,13.255277343030546,4,4
4,3226.7833867900113,153278.28642468093,21.051797107450135,4,5
5,2353.534605492711,69267.88455601392,33.97728428662362,4,6
6,2145.7658207656646,37072.49241469443,57.88026865750054,4,7
7,1613.8501768762626,16215.048774710564,99.52792614433993,4,8
8,1436.436804760322,8185.340420979076,175.48895108610583,4,9
9,1164.1928971742152,3134.309510280857,371.43520553906467,4,10
10,1542.575812746834,2947.0973901206908,523.4220687507247,4,11
