,order,Q_decile,mu,sigma,n,loc,mean,median
0,6,0,2.9603089463314487,0.760449449206958,1618,0,26.426991675007166,15.747474326426127
1,7,0,2.914159415734722,0.7017726342190733,9269,0,23.562119473988457,16.3229368578029
2,8,0,3.2282398350969106,0.8358242710578555,3001,0,34.41190368911949,25.875436068074787
3,9,0,3.2271552724291235,0.944353955512159,8690,0,38.44017425754581,21.77217139552368
4,10,0,3.266877062512628,0.7316259506705517,13014,0,35.99362427695952,22.60082735646639
5,11,0,3.2173891399459538,0.6093811198747184,17209,0,29.02488217121671,25.912790133505904
6,12,0,4.449702226089678,0.9639641280237018,3185,0,122.93705787133759,94.45116544799357
7,6,1,2.95472703417953,0.6878349703549423,1319,0,24.770524291464472,16.576288764659083
8,7,1,2.9107665486299963,0.6462173437072236,8013,0,22.839840427601704,16.41017160844319
9,8,1,3.2162090593101693,0.8065717982454946,2559,0,33.61471075080121,22.395118425561513
10,9,1,3.338996481151391,0.9277680715554375,7374,0,41.78907139838551,26.32597344932149
11,10,1,3.3179137656320643,0.7942482238482605,9582,0,39.38790945018704,22.024536645642932
12,11,1,3.1715841111466023,0.6356864223066138,12390,0,27.99789426969284,24.978942601709154
13,12,1,4.218039872788211,1.1227092875012261,2295,0,106.85836733489924,58.17974546699586
14,6,2,2.9470328515835447,0.7172365341590464,1101,0,24.72535635073943,16.66119908381456
15,7,2,2.9195335212881752,0.635847926958363,5777,0,22.89828658120339,16.313580111270536
16,8,2,3.299050816905132,0.8421146333711776,1819,0,36.45680172962716,32.454277320653894
17,9,2,3.2282271800322655,0.9399777916729718,6305,0,38.13882553956281,21.120389595989593
18,10,2,3.3294197138341413,0.8075361009624344,8694,0,40.46808471417232,22.525094296680273
19,11,2,3.1795029636333503,0.6453576352228493,13101,0,28.284884599998897,25.28821752662561
20,12,2,4.330462147755682,1.0789431750017973,2634,0,115.83427379269077,77.3525728455628
21,6,3,3.015989707801265,0.6653098777444028,986,0,25.766406627358013,18.175853545979518
22,7,3,2.885556650051222,0.6197851296199165,5378,0,21.902910944914876,16.067165710852898
23,8,3,3.3202084398329093,0.7973032854998678,1897,0,36.54230943556996,32.375776701397974
24,9,3,3.1952238747752295,0.9393767663708771,6027,0,37.20676688643561,20.317501365844553
25,10,3,3.3353839948974837,0.7298418894870039,8197,0,37.89224429312602,24.374664994074845
26,11,3,3.1291674296217917,0.6692724102548084,12461,0,27.07867987516697,24.251356278519424
27,12,3,4.305027348701383,1.0988101447685692,2620,0,113.19782203385613,79.07449433420669
28,6,4,3.012454104179192,0.6504371849923521,1002,0,25.26952474184095,18.9072706670924
29,7,4,2.916141879282526,0.6207038062965119,4714,0,22.6304576704201,16.47530494339464
30,8,4,3.22313298525907,0.8209160523338302,1565,0,33.85256123274295,26.438220338442424
31,9,4,3.165380255601245,0.8985204133643907,5858,0,35.20232278605319,20.04708468732136
32,10,4,3.3121915881113306,0.7445535868643726,9947,0,38.09571487105616,23.787768541255222
33,11,4,3.1528350909534506,0.7059984947777574,15820,0,28.114674728524474,25.029986381457775
34,12,4,4.295831891164803,1.0749330758260578,3045,0,111.2014661420977,80.17300335113693
