,order,mu,sigma,n,loc
0,6,2.9910430989410055,0.5926176909660816,62,0
1,7,3.0098390363250074,0.567867674887216,272,0
2,8,3.277079969304528,0.7251778411960748,74,0
3,9,3.37630422321882,0.7705879896738248,259,0
4,10,3.437612649987941,0.7508738299308575,384,0
5,11,3.394412500557637,0.4089355542976024,585,0
6,12,4.519983523060691,0.7894851416345592,124,0
