,order,mu,sigma,n
0,8,2.753943608618696,1.1539034103261756,74
1,9,3.056446259046541,1.0198278449913314,259
2,10,3.1191613572802424,0.9704765072539977,384
3,11,3.4779111794325352,0.36930612040070415,584
4,12,4.375805627899618,0.9018118502483048,124
