,order,mu,sigma,n
0,7,4.401757069121941,0.8639603637053939,747
1,8,3.9369712287009673,0.802643524308718,813
2,9,3.8984377087257087,0.7191709467982994,9451
3,10,4.016609334723784,0.6665182416367434,32277
4,11,4.586349341858737,0.6264912604798376,44195
5,12,5.375090414548929,0.6475564683466161,35089
6,13,5.952112157593104,0.6262627401953083,10736
7,14,6.98342538439065,0.28775602298280717,3563
