,order,Q_decile,mu,sigma,loc,n,mean,median,min,max,n95,n90,n75,n25,n10,n05
0,4,0,4.8458139188689255,0.8654486198050878,0,3986399,186.37050641949236,112.912070408963,30.0068816779862,1898.24205544906,30.9061087718217,30.8334232807584,30.8024217317556,30.3162081652664,30.2068346350023,30.1031423197985
1,5,0,4.423908429475264,0.6728237594646409,0,9607173,112.42933538654518,75.627957243847,30.0022830909238,2897.08801272641,30.684721049036,30.666958099906,30.5633757213084,30.2317882442232,30.1287141232797,30.0525732075977
2,6,0,4.4809106036334905,0.6581767623235671,0,26044682,111.9833137754388,83.1440663067956,30.0018894906812,2263.57964331048,30.5681809597256,30.5633757213084,30.4838904655985,30.2357794607305,30.1491047090909,30.064564083734
3,7,0,4.614384038979537,0.5792517010064244,0,48699835,122.11931090796556,97.6900730663918,30.0004073866432,2165.21018941562,31.2566945441294,31.2510300471116,31.1038259906862,30.5312519968104,30.2801889086615,30.1793049318531
4,8,0,5.564379157624284,0.7621561034586726,0,25065392,336.98717239951685,305.708409713981,30.0129467297415,2438.56887184232,38.3938557483319,37.5084187190645,35.2529541760908,31.0545068521783,30.6410854773242,30.3588617240808
5,9,0,5.854542704282825,0.5031418387106235,0,8685450,397.12902486683464,347.819130220864,30.1432899857079,2093.12178072094,125.307170915266,123.775622695925,118.955153363312,75.3845620578424,43.8467084869331,38.2252874541167
6,10,0,6.537924169365974,0.4577236322198005,0,4943683,751.2155001127514,721.208864157904,30.3250681678688,3662.22264180587,106.391455586329,105.541909749016,98.0291848414428,70.0353770057108,53.569425924653,42.7886730077117
7,4,1,4.883693980939721,0.8660734474600876,0,3571614,191.80340226392303,121.420272835353,30.0022830909238,1898.24205544906,30.9976070842178,30.9450965575955,30.8144388626666,30.4274129073627,30.202626361255,30.1155937658447
8,5,1,4.46350419103735,0.7166853414006696,0,7795960,123.22095872843356,78.3201970172613,30.0022830909238,2897.44269305199,30.6994633923958,30.684721049036,30.5708931540512,30.2321982835326,30.1256915684086,30.0549931161159
9,6,1,4.44751842698029,0.6494150213794019,0,24047609,108.18510785398658,79.8339464062571,30.0005672758451,2306.11726477754,30.5681809597255,30.5600176265546,30.4699526270055,30.233433177997,30.1326930486604,30.0637389310776
