,area_km2,length_km,mean_width,Q_decile,order
0,146.38518132810654,203088.9802787976,0.7207933248133458,0,1
1,187.7077273179435,112317.86987721748,1.6712187252406046,0,2
2,138.1075390746772,62688.48333027598,2.2030767333619137,0,3
3,116.86662952756016,23843.94403557444,4.901312859701344,0,4
4,18.09786412816647,2504.915565911452,7.224939784180424,0,5
5,1.9786710947809407,167.70334511024706,11.798638205339168,0,6
6,0.0,0.0,22.493432348650124,0,7
7,0.0,0.0,33.4066714115407,0,8
8,0.0,0.0,65.83469105479448,0,9
9,0.0,0.0,105.38407858071501,0,10
10,0.0,0.0,232.1245970485381,0,11
11,0.0,0.0,307.48216358881086,0,12
12,0.0,0.0,602.8795728536442,0,13
13,0.0,0.0,889.0087663560437,0,14
14,0.0,0.0,1405.664804816726,0,15
15,175.18234235402693,242463.2825265585,0.7225108087647791,1,1
16,226.00457532963733,131818.6075008793,1.7145119313153856,1,2
17,170.23990745682386,77412.7839182573,2.1991187868477353,1,3
18,161.79300423743763,33385.30230824289,4.846234511930438,1,4
19,31.001679982817134,4229.158963226128,7.33045985085605,1,5
20,2.2957226765909873,192.01447568334413,11.955987528653417,1,6
21,0.08535435687956287,3.729959953866432,22.88345127970759,1,7
22,0.0,0.0,33.324514801998596,1,8
23,0.0,0.0,65.51062922584089,1,9
24,0.0,0.0,107.01143480647076,1,10
25,0.0,0.0,232.02799156825563,1,11
26,0.0,0.0,308.4557031744761,1,12
27,0.0,0.0,591.683475969248,1,13
28,0.0,0.0,900.2718183373161,1,14
29,0.0,0.0,1424.6604517808623,1,15
30,198.50738856086062,274017.69355336885,0.7244327400420166,2,1
31,257.9863527558134,146669.21974244397,1.758967240766986,2,2
32,190.59870453371514,86814.85413944464,2.195461899038265,2,3
33,200.55087991434408,41851.32157595912,4.7919843952920145,2,4
34,45.594106026242905,6130.267646120257,7.4375392165949945,2,5
35,3.1893966283970494,263.2458468411623,12.1156579169945,2,6
36,0.08683581110968203,3.729959953866432,23.280628259740176,2,7
37,0.0,0.0,33.243992909088156,2,8
