,order,mu,sigma,loc,n,mean,median,min,max,n95,n90,n75,n25,n10,n05
0,4,4.68092172170028,0.9691695398112468,0,2902,173.6914692545037,103.25186235560335,1.8570966384948007,1800.1340298568684,15.938096381263552,15.639429571879688,14.188052607276196,9.929738865682179,7.255410055811444,3.0988621831063856
1,5,4.209406391690872,0.7437768289291454,0,7114,94.41165280116618,62.45182959063995,0.6561999272186028,2575.0806416940604,16.232282026920622,16.09589267419572,14.983832012776027,9.287608826304508,6.411509078471561,5.294055034707908
2,6,4.244415257573186,0.7160642408686687,0,27648,91.7698431069607,65.99897905475981,0.121169736141925,2260.516059666373,16.756005416267172,16.576662610050988,15.472077103373408,9.814876785732325,6.194725923505446,4.1082936669531565
3,7,4.611227725738952,0.6439522597783132,0,29431,124.35576073286474,104.82449630186683,1.9207196293479685,1654.0315414697977,23.174459268934427,22.839378185011636,21.697430136955393,16.598274487948277,11.853363945257431,8.721212647505501
4,8,5.560866517999078,0.7393078906858794,0,17852,333.95324618801857,275.073555872284,10.072118466194073,2392.8849711617663,42.82254004578827,42.26049969657332,40.08861168946355,29.161003161903423,22.699398601968284,19.69452509839078
5,9,5.823199465334657,0.5432726160870609,0,7581,392.82076362968576,334.37942574522185,19.565373552526307,2012.7216556636856,149.06790796601558,147.54146107793963,63.625296122393856,30.369386387066392,26.787599709614412,24.8056633063998
6,10,6.739352352317268,0.4185591062741244,0,3210,912.8815075679659,850.6994317403487,121.12074924585605,2145.498010009477,163.31524975690604,160.0866709468171,154.49055216316458,140.8665565779943,136.2092294165682,133.76792819934317
