,order,length_km,Q_decile
0,1,1390982.0252279951,0
1,2,667574.7170951355,0
2,3,320389.4765150562,0
3,4,153764.6858590711,0
4,5,73796.36458261676,0
5,6,35417.127119823796,0
6,7,16997.759991516363,0
7,8,8157.743674457347,0
8,9,3915.1501075061396,0
9,10,1878.9999999999982,0
0,1,1628713.1953335984,1
1,2,768085.028496794,1
2,3,362221.3000368579,1
3,4,170819.9812944786,1
4,5,80557.01309248479,1
5,6,37989.89034658396,1
6,7,17915.65641700925,1
7,8,8448.846309481025,1
8,9,3984.3923270073215,1
9,10,1878.999999999997,1
0,1,1696965.6988177767,2
1,2,859208.2442898072,2
2,3,435034.6076941219,2
3,4,220266.86911973302,2
4,5,111525.59537498411,2
5,6,56467.67702038582,2
6,7,28590.733251479516,2
7,8,14476.069691376715,2
8,9,7329.528482755908,2
9,10,3711.0893305198647,2
10,11,1879.0000000000034,2
0,1,1913821.1051378457,3
1,2,957423.0603326012,3
2,3,478967.921294096,3
3,4,239612.2248706774,3
4,5,119870.27889540582,3
5,6,59967.23986106091,3
6,7,29999.678733473236,3
7,8,15007.873068641922,3
8,9,7507.955536642196,3
9,10,3755.988345742128,3
10,11,1878.9999999999998,3
0,1,2173580.1572033265,4
1,2,1073620.4436731704,4
2,3,530305.1986617625,4
3,4,261939.50141778507,4
4,5,129382.66978363131,4
5,6,63907.41048880834,4
6,7,31566.49280939287,4
7,8,15591.986291792437,4
8,9,7701.521926791431,4
9,10,3804.0977511679557,4
10,11,1878.9999999999998,4
0,1,2471419.143899709,5
1,2,1205159.2648339313,5
2,3,587682.1247420106,5
3,4,286576.46322693746,5
4,5,139745.73297037603,5
5,6,68145.40755903914,5
6,7,33230.32820166296,5
7,8,16204.389289675077,5
8,9,7901.885008713089,5
9,10,3853.263802463034,5
10,11,1878.9999999999982,5
0,1,2831232.6791570215,6
1,2,1361979.8557082224,6
2,3,655187.8060079821,6
3,4,315181.65216792765,6
4,5,151619.84541283463,6
5,6,72937.55002833616,6
6,7,35087.00453856097,6
7,8,16878.79407809445,6
8,9,8119.635553887627,6
9,10,3905.994777998922,6
10,11,1878.9999999999995,6
0,1,3311210.176729929,7
1,2,1568125.262493395,7
2,3,742633.8733044257,7
3,4,351697.0761010598,7
4,5,166556.95058408735,7
5,6,78878.15871377532,7
6,7,37355.17431279118,7
7,8,17690.689928533022,7
8,9,8377.969475579066,7
9,10,3967.6447225795114,7
10,11,1878.9999999999982,7
0,1,3790086.209592868,8
1,2,1897666.04931105,8
2,3,950146.3121322093,8
3,4,475730.70867036516,8
4,5,238194.5856992563,8
5,6,119262.13637756418,8
6,7,59713.60403338139,8
7,8,29898.12705825594,8
8,9,14969.754649073013,8
9,10,7495.237203882403,8
10,11,3752.8057112106176,8
11,12,1878.9999999999998,8
0,1,5483128.149586005,9
1,2,2654722.6690735463,9
2,3,1285316.019875459,9
3,4,622301.2634027887,9
4,5,301294.66718249605,9
5,6,145875.4494185465,9
6,7,70627.35939555711,9
7,8,34195.088447521804,9
8,9,16555.964769757415,9
9,10,8015.770155942187,9
10,11,3880.931862712274,9
11,12,1878.9999999999989,9
