,order,Q_decile,mu,sigma,loc,n,mean,median,min,max,n95,n90,n75,n25,n10,n05
0,4,0,4.65388644836519,1.0711494813747595,0,4376925,171.46389624127178,98.3766949474643,0.0593104945275495,1898.24205544906,5.00337087874077,4.90745848771911,3.51306953488615,0.674897983640413,0.183929586475347,0.119944859290271
1,5,0,4.206987945557672,0.9138174982552744,0,11044067,100.44270382475412,67.4901647581692,0.0592407731269352,2897.08801272641,3.19564563246093,3.00309418169086,2.38675686920363,0.429636454642753,0.122858206422319,0.0613654972420775
2,6,0,4.2776042448735705,0.8914393449058668,0,29558362,101.07515284997346,70.3273122298646,0.0590376188266656,2263.57964331048,4.1429799957643,3.91690780560981,3.00200590693758,0.667878138177939,0.183796280016587,0.0613989267847915
3,7,0,4.540151150083983,0.7011549981183283,0,50748523,118.02871195539306,95.999763866473,0.0592333192628297,2165.21018941562,14.9731813270669,14.4051993722127,12.0273938480939,2.80656920444188,0.7167413430512817,0.299199496564023
4,8,0,5.522103572915342,0.841801076374025,0,25436905,332.3449505372997,302.663729431171,0.0593567213100516,2438.56887184232,25.8041263174823,24.8966536209387,21.5407592641717,8.20052070214466,2.31234027849664,0.852451242747457
5,9,0,5.849447855195264,0.5223650639101054,0,8698468,396.5621139992874,347.521203326937,0.0591204087553628,2093.12178072094,121.090609741824,118.963637344967,109.54063716498,44.1795881159818,26.1562016755934,14.1500053873134
6,10,0,6.5346281575138825,0.4735310228496076,0,4947475,750.6499175579677,720.829079338036,0.236542536983621,3662.22264180587,104.382376698547,101.093782474797,94.8297965442921,66.2488615912947,39.2228226632237,17.9225787078071
7,4,1,4.709751303193722,1.0582857695679186,0,3884969,177.9595112037167,105.102096826212,0.0595923706221871,1898.24205544906,5.88148096053077,5.47159125070296,4.14943952411474,0.829399789696557,0.181261405074509,0.119944859290271
8,5,1,4.248036108207006,0.9390351232868104,0,8940626,110.09336310043875,68.7531265261232,0.0593904365481135,2897.44269305199,3.75670624323693,3.43896437141581,2.78729202414008,0.491191414278332,0.178072065149429,0.120940817051328
9,6,1,4.226880135253224,0.897120151418831,0,27760790,96.52151329100559,68.8046201909769,0.0590376188266656,2306.11726477754,3.60364315213925,3.31795203514587,2.54215853584228,0.546604116538853,0.178839448433361,0.0612876363610381
