,order,length_km,Q_decile
0,1,1186295.0110003394,0
1,2,659876.5998689389,0
2,3,367056.35867709725,0
3,4,204175.09951413536,0
4,5,113572.3991047378,0
5,6,63174.6470020104,0
6,7,35140.89739486828,0
7,8,19547.124175895486,0
8,9,10873.087822841864,0
9,10,6048.155101455787,0
10,11,3364.2862751847815,0
11,12,1871.384240571535,0
0,1,1367388.655651837,1
1,2,760609.9397063344,1
2,3,423089.27896164847,1
3,4,235343.41142241698,1
4,5,130909.77260371945,1
5,6,72818.56101081894,1
6,7,40505.32456226804,1
7,8,22531.086787761596,1
8,9,12532.917025692388,1
9,10,6971.435095541392,1
10,11,3877.8607718948992,1
11,12,2157.0600543665378,1
0,1,1524987.5556889547,2
1,2,848274.327851981,2
2,3,471852.59486766445,2
3,4,262468.00589513837,2
4,5,145997.82827917073,2
5,6,81211.29198028872,2
6,7,45173.7811640356,2
7,8,25127.9157724948,2
8,9,13977.403148450234,2
9,10,7774.930501325443,2
10,11,4324.805091362278,2
11,12,2405.6728320702673,2
0,1,1698586.996630936,3
1,2,944839.0168759582,3
2,3,525566.7031372517,3
3,4,292346.4786200963,3
4,5,162617.72873242857,3
5,6,90456.1116074134,3
6,7,50316.2120816237,3
7,8,27988.392970403183,3
8,9,15568.543589786772,3
9,10,8660.002371818893,3
10,11,4817.126319324259,3
11,12,2679.526515124119,3
12,13,1490.4866240377914,3
0,1,1905238.4693718874,4
1,2,1059788.8985881123,4
2,3,589507.5748396375,4
3,4,327913.5885045484,4
4,5,182401.93360565504,4
5,6,101461.07556814564,4
6,7,56437.72328478101,4
7,8,31393.483577159433,4
8,9,17462.625239794936,4
9,10,9713.585289635934,4
10,11,5403.181817359989,4
11,12,3005.519885906494,4
12,13,1671.8204365354873,4
0,1,2139883.0946245356,5
1,2,1190309.971384898,5
2,3,662109.9215828496,5
3,4,368298.6438804601,5
4,5,204866.12065850594,5
5,6,113956.77961629393,5
6,7,63388.4586615635,5
7,8,35259.830130494694,5
8,9,19613.280510087676,5
9,10,10909.88728373627,5
10,11,6068.6248015783,5
11,12,3375.67254587793,5
12,13,1877.7178536445986,5
0,1,2420564.531875072,6
1,2,1346439.020855509,6
2,3,748956.7053508768,6
3,4,416607.1673514253,6
4,5,231737.73683923032,6
5,6,128904.11611682187,6
6,7,71702.91458998216,6
7,8,39884.74624067758,6
8,9,22185.890096376905,6
9,10,12340.901366109654,6
10,11,6864.626384898495,6
11,12,3818.4484265997885,6
12,13,2124.0119372961326,6
0,1,2790993.546931093,7
1,2,1552490.1604804208,7
2,3,863572.651767234,7
3,4,480362.28754552396,7
4,5,267201.5224471977,7
5,6,148630.84686125373,7
6,7,82675.90856657238,7
7,8,45988.47414015589,7
8,9,25581.088740461717,7
9,10,14229.48061188183,7
10,11,7915.148590359268,7
11,12,4402.801403387343,7
12,13,2449.05828063421,7
0,1,3367608.09434062,8
1,2,1873232.00247697,8
2,3,1041985.3013778146,8
3,4,579604.3238914094,8
4,5,322404.9051645965,8
5,6,179337.72849780682,8
6,7,99756.61147690503,8
7,8,55489.61513402843,8
8,9,30866.098418303314,8
9,10,17169.26724518122,8
10,11,9550.404905132054,8
11,12,5312.412728479706,8
12,13,2955.029580216836,8
13,14,1643.7352039956152,8
0,1,4716529.610349335,9
1,2,2623569.5957568176,9
2,3,1459360.5876397297,9
3,4,811769.3268745998,9
4,5,451546.6880739961,9
5,6,251172.84524116036,9
6,7,139714.89516539546,9
7,8,77716.41043575121,9
8,9,43229.75330488662,9
9,10,24046.550275843183,9
10,11,13375.89359093777,9
11,12,7440.340809959135,9
12,13,4138.689575539769,9
13,14,2302.1460763939967,9
